id,filtered_words_str_final,features_str,label_index
R024,new report education sell rock history. everyone positive show water history matter. remain cell pick determine. experts discuss ongoing developments education.,"(10000,[1,574,585,2589,3210,3614,4019,4485,4506,4687,5047,5205,5530,6505,6543,7372,7424,7968,8512,8893,9462],[4.019381523748645,3.6516567436233283,0.6871770135734415,4.137164559405029,4.830311739964974,0.6832166123573445,3.8187108282864943,4.019381523748645,0.691153161953081,0.691153161953081,2.7200985396183848,3.914021008090819,2.4789364828014966,0.6871770135734415,3.8187108282864943,4.137164559405029,5.523458920524919,4.830311739964974,5.523458920524919,4.019381523748645,0.691153161953081])",1.0
F079,miracle drug confirmed sources court argue challenge moment newspaper southern much. recent far woman develop young. — shocking claims miracle drug surface internet.,"(10000,[503,1241,1256,3238,3401,3730,3743,4158,4563,4568,4988,5252,5591,5850,5935,7281,7634,7860,7936,8338,9023],[0.691153161953081,3.914021008090819,6.251127295453098,4.270695952029551,4.270695952029551,4.270695952029551,4.42484663185681,3.577548771469606,4.270695952029551,4.019381523748645,0.6792718340663283,4.830311739964974,4.137164559405029,0.691153161953081,3.6516567436233283,0.6714286566053024,5.523458920524919,5.841538470161072,0.691153161953081,0.691153161953081,0.691153161953081])",0.0
R094,new report policy chance especially economic either month last key. skill fear ready country. experts discuss ongoing developments policy.,"(10000,[346,585,3614,3989,4142,4506,4657,4687,5741,6505,6557,6944,8173,9062,9126,9144,9462,9513,9968],[5.523458920524919,0.6871770135734415,0.6832166123573445,3.914021008090819,2.6902455764687034,0.691153161953081,4.607168188650764,0.691153161953081,4.270695952029551,0.6871770135734415,3.914021008090819,2.849310271098391,3.383392757028649,5.523458920524919,4.137164559405029,2.6902455764687034,0.691153161953081,3.577548771469606,3.6516567436233283])",1.0
R040,new report policy seven score money end happy. win yet west form. evening work popular into. experts discuss ongoing developments policy.,"(10000,[442,453,585,1927,2398,2956,3614,4037,4142,4249,4506,4687,5085,5286,6103,6148,6505,6944,7850,9462,9527],[4.607168188650764,4.270695952029551,0.6871770135734415,4.019381523748645,4.137164559405029,4.42484663185681,0.6832166123573445,4.019381523748645,2.6902455764687034,5.523458920524919,0.691153161953081,0.691153161953081,3.6516567436233283,3.914021008090819,3.914021008090819,3.7316994512968646,0.6871770135734415,2.849310271098391,4.137164559405029,0.691153161953081,4.137164559405029])",1.0
F170,immortal jellyfish confirmed sources trial data song lot major carry. begin hit enough knowledge. — shocking claims immortal jellyfish surface internet.,"(10000,[503,1058,1513,1695,2066,3410,3881,4748,4943,4988,5850,6805,7281,7350,7936,8252,8338,9023,9876],[0.691153161953081,4.137164559405029,4.607168188650764,4.270695952029551,5.501740396570277,4.607168188650764,5.523458920524919,3.8187108282864943,4.019381523748645,0.6792718340663283,0.691153161953081,5.117993812416755,0.6714286566053024,4.270695952029551,0.691153161953081,4.42484663185681,0.691153161953081,0.691153161953081,5.501740396570277])",0.0
F130,immortal jellyfish confirmed sources challenge simple beautiful economic rich. impact think interview change drive certainly. — shocking claims immortal jellyfish surface internet.,"(10000,[387,503,1273,1972,2066,2335,2913,4988,5442,5850,5935,6035,6325,7019,7281,7936,8338,9023,9144,9876],[2.5530444549552183,0.691153161953081,3.3262343431887,4.019381523748645,5.501740396570277,4.42484663185681,3.577548771469606,0.6792718340663283,5.117993812416755,0.691153161953081,3.6516567436233283,3.5085558999826545,4.019381523748645,5.117993812416755,0.6714286566053024,0.691153161953081,0.691153161953081,0.691153161953081,2.6902455764687034,5.501740396570277])",0.0
R085,new report economic growth girl somebody little perform. different pass magazine example. experts discuss ongoing developments economic growth.,"(10000,[320,585,1029,1590,1834,3089,3614,4506,4687,6505,6683,8392,8413,9034,9144,9462,9513],[2.7826188965997183,0.6871770135734415,3.8187108282864943,4.019381523748645,5.117993812416755,4.137164559405029,0.6832166123573445,0.691153161953081,0.691153161953081,0.6871770135734415,4.019381523748645,4.607168188650764,4.019381523748645,2.8844015909096608,5.380491152937407,0.691153161953081,3.577548771469606])",1.0
R054,new report budget report upon tv fine interesting star give boy. coach yard identify people deal page rather. experts discuss ongoing developments budget report.,"(10000,[424,585,1433,1661,2827,3514,3614,3634,3783,3967,4263,4506,4547,4687,4991,5170,5432,6431,6505,6735,8046,9462],[4.019381523748645,0.6871770135734415,4.42484663185681,5.523458920524919,4.607168188650764,4.42484663185681,0.6832166123573445,4.42484663185681,4.607168188650764,4.270695952029551,4.270695952029551,0.691153161953081,4.137164559405029,0.691153161953081,5.158039882716958,4.019381523748645,2.7508701982851385,4.270695952029551,1.374354027146883,4.137164559405029,4.607168188650764,0.691153161953081])",1.0
R047,new report technology breakthrough arrive weight modern eye past. ask network enough body success create today. experts discuss ongoing developments technology breakthrough.,"(10000,[585,841,1020,1341,1404,2227,2336,3308,3481,3507,3614,3882,4506,4687,4748,6505,7391,8004,9152,9462,9828],[0.6871770135734415,3.8187108282864943,5.1060889099104365,3.8187108282864943,4.270695952029551,2.7200985396183848,4.270695952029551,5.523458920524919,2.7200985396183848,4.137164559405029,0.6832166123573445,4.42484663185681,0.691153161953081,0.691153161953081,3.8187108282864943,0.6871770135734415,3.7316994512968646,3.577548771469606,4.42484663185681,0.691153161953081,4.270695952029551])",1.0
R199,new report economic growth surface clearly population property wind back. arrive somebody consider tv show safe heart. little seven certain build. experts discuss ongoing developments economic growth.,"(10000,[312,320,585,691,1590,2110,2558,2733,3089,3614,4019,4506,4547,4687,5598,6505,7281,7391,7642,7850,8238,9034,9144,9258,9288,9462],[4.607168188650764,2.7826188965997183,0.6871770135734415,5.523458920524919,4.019381523748645,5.117993812416755,4.137164559405029,4.019381523748645,4.137164559405029,0.6832166123573445,3.8187108282864943,0.691153161953081,4.137164559405029,0.691153161953081,5.117993812416755,0.6871770135734415,0.6714286566053024,3.7316994512968646,4.830311739964974,4.137164559405029,4.270695952029551,2.8844015909096608,5.380491152937407,3.914021008090819,4.270695952029551,0.691153161953081])",1.0
F062,miracle drug confirmed sources important relationship usually everything book collection. loss million night little school others avoid. group ready interesting office else. — shocking claims miracle drug surface internet.,"(10000,[393,503,1175,1256,1590,1967,2679,2990,3634,3652,4260,4988,5329,5850,6557,6869,6940,7281,7766,7860,7936,8338,8344,8651,9023,9156,9757],[3.914021008090819,0.691153161953081,4.830311739964974,6.251127295453098,4.019381523748645,4.42484663185681,4.019381523748645,4.137164559405029,4.42484663185681,3.914021008090819,3.7316994512968646,0.6792718340663283,4.137164559405029,0.691153161953081,3.914021008090819,3.6516567436233283,4.137164559405029,0.6714286566053024,4.270695952029551,5.841538470161072,0.691153161953081,0.691153161953081,3.5085558999826545,4.42484663185681,0.691153161953081,3.7316994512968646,4.830311739964974])",0.0
R244,new report technology breakthrough entire blood beyond next law. soldier soldier deep ago instead money south. look travel record without important. experts discuss ongoing developments technology breakthrough.,"(10000,[585,1020,1762,1896,2227,2359,3065,3481,3614,4043,4141,4347,4506,4527,4640,4687,6103,6505,8273,8538,8681,8824,8900,9462,9939],[0.6871770135734415,5.1060889099104365,4.137164559405029,4.019381523748645,2.7200985396183848,3.914021008090819,5.117993812416755,2.7200985396183848,0.6832166123573445,4.019381523748645,8.274329118810059,4.137164559405029,0.691153161953081,4.137164559405029,4.607168188650764,0.691153161953081,3.914021008090819,0.6871770135734415,4.607168188650764,5.117993812416755,4.019381523748645,4.137164559405029,4.019381523748645,0.691153161953081,4.42484663185681])",1.0
R107,new report election minute business charge card administration. notice near save top one. experts discuss ongoing developments election.,"(10000,[132,585,1525,2144,2466,3357,3556,3614,3684,4506,4520,4687,5328,5374,5974,6505,6812,9462],[2.6330871626287546,0.6871770135734415,3.383392757028649,4.270695952029551,5.523458920524919,4.019381523748645,2.7826188965997183,0.6832166123573445,4.019381523748645,0.691153161953081,4.270695952029551,0.691153161953081,4.137164559405029,4.42484663185681,3.5085558999826545,0.6871770135734415,4.019381523748645,0.691153161953081])",1.0
F148,aliens confirmed sources per enough wish raise. treatment decade system political exactly man. — shocking claims aliens surface internet.,"(10000,[298,495,503,650,2096,3935,3996,4046,4748,4988,5850,6030,7281,7593,7936,8015,8338,9023],[4.137164559405029,5.117993812416755,0.691153161953081,5.917019126126766,4.270695952029551,4.270695952029551,4.42484663185681,4.830311739964974,3.8187108282864943,0.6792718340663283,0.691153161953081,4.270695952029551,0.6714286566053024,5.523458920524919,0.691153161953081,3.8187108282864943,0.691153161953081,0.691153161953081])",0.0
F023,mind control confirmed sources study red yard address. phone evidence attention house out. movement officer partner future. enjoy beautiful less put cause voice. — shocking claims mind control surface internet.,"(10000,[52,116,217,316,424,503,696,1195,1208,1259,1273,1626,1805,2054,3144,3184,4224,4988,5294,5778,5836,5850,7281,7936,8338,8547,8871,9023],[4.42484663185681,3.914021008090819,3.5085558999826545,4.270695952029551,4.019381523748645,0.691153161953081,4.270695952029551,3.914021008090819,5.7688031818193215,4.137164559405029,3.3262343431887,4.42484663185681,5.117993812416755,3.8187108282864943,4.270695952029551,5.698620542196782,3.914021008090819,0.6792718340663283,4.270695952029551,4.830311739964974,4.270695952029551,0.691153161953081,0.6714286566053024,0.691153161953081,0.691153161953081,5.117993812416755,3.914021008090819,0.691153161953081])",0.0
R075,new report budget report move onto soon. nearly democratic movie position amount. important evening return billion wrong everything final business. experts discuss ongoing developments budget report.,"(10000,[258,585,635,1339,1439,1653,1967,2095,2866,3614,4319,4506,4546,4687,4991,5286,5432,5606,5635,6282,6505,6512,9156,9462],[4.607168188650764,0.6871770135734415,4.019381523748645,3.914021008090819,4.137164559405029,4.137164559405029,4.42484663185681,5.117993812416755,4.42484663185681,0.6832166123573445,3.7316994512968646,0.691153161953081,5.117993812416755,0.691153161953081,5.158039882716958,3.914021008090819,2.7508701982851385,4.137164559405029,5.523458920524919,4.42484663185681,1.374354027146883,4.270695952029551,3.7316994512968646,0.691153161953081])",1.0
R220,new report public health give thought free campaign. kid question today recently position ten suffer model. experts discuss ongoing developments public health.,"(10000,[55,585,1073,1339,1770,2034,2947,3614,3723,3783,4506,4687,5085,5856,6135,6219,6505,8805,9156,9462,9806],[4.607168188650764,0.6871770135734415,3.914021008090819,3.914021008090819,5.7688031818193215,4.019381523748645,4.137164559405029,0.6832166123573445,4.270695952029551,4.607168188650764,0.691153161953081,0.691153161953081,3.6516567436233283,5.117993812416755,4.270695952029551,3.172083663361442,0.6871770135734415,3.0385522707369192,3.7316994512968646,0.691153161953081,4.137164559405029])",1.0
R099,new report economic growth stop capital grow material international. police name people mission. away late model two recently possible white. guy item reach particular. experts discuss ongoing developments economic growth.,"(10000,[15,94,320,585,796,1916,2034,2404,2886,3079,3231,3614,3737,3876,4263,4489,4506,4687,4728,6100,6505,6541,6877,7102,8386,8633,9034,9144,9462],[4.137164559405029,4.607168188650764,2.7826188965997183,0.6871770135734415,4.270695952029551,4.42484663185681,4.019381523748645,4.270695952029551,5.523458920524919,3.8187108282864943,3.914021008090819,0.6832166123573445,4.270695952029551,3.6516567436233283,4.270695952029551,4.830311739964974,0.691153161953081,0.691153161953081,4.137164559405029,4.137164559405029,0.6871770135734415,4.270695952029551,4.830311739964974,5.523458920524919,4.270695952029551,4.830311739964974,2.8844015909096608,5.380491152937407,0.691153161953081])",1.0
F066,flat earth confirmed sources stuff especially tv share shake. young reason cost art generation field. — shocking claims flat earth surface internet.,"(10000,[503,2918,2944,3132,3947,4490,4547,4988,5850,6176,6963,7281,7722,7809,7854,7936,8173,8338,9023,9676],[0.691153161953081,6.0771045414738385,4.270695952029551,5.523458920524919,4.42484663185681,4.607168188650764,4.137164559405029,0.6792718340663283,0.691153161953081,5.117993812416755,4.270695952029551,0.6714286566053024,4.42484663185681,3.8187108282864943,4.137164559405029,0.691153161953081,3.383392757028649,0.691153161953081,0.691153161953081,6.0771045414738385])",0.0
F060,flat earth confirmed sources exist civil education popular might risk. candidate full boy. purpose imagine face fire camera. soldier feel dark. — shocking claims flat earth surface internet.,"(10000,[503,593,2918,3115,3192,3924,4034,4141,4358,4988,5191,5301,5530,5850,6148,6602,6711,6717,7281,7936,8046,8089,8338,8897,9023,9676],[0.691153161953081,4.607168188650764,6.0771045414738385,4.270695952029551,4.607168188650764,4.42484663185681,4.607168188650764,4.137164559405029,4.137164559405029,0.6792718340663283,4.270695952029551,4.019381523748645,2.4789364828014966,0.691153161953081,3.7316994512968646,4.270695952029551,4.830311739964974,5.117993812416755,0.6714286566053024,0.691153161953081,4.607168188650764,4.270695952029551,0.691153161953081,4.270695952029551,0.691153161953081,6.0771045414738385])",0.0
F022,government cover-up confirmed sources job game. board seat. — shocking claims government cover-up surface internet.,"(10000,[503,557,1268,2259,4988,5498,5850,7281,7454,7936,8338,9023,9813],[0.691153161953081,4.019381523748645,4.830311739964974,5.501740396570277,0.6792718340663283,4.607168188650764,0.691153161953081,0.6714286566053024,4.42484663185681,0.691153161953081,0.691153161953081,0.691153161953081,5.995460552433328])",0.0
F127,mind control confirmed sources carry major strategy individual fact everyone law. eight question popular. — shocking claims mind control surface internet.,"(10000,[454,503,1058,1208,2291,2947,3184,4988,5850,7215,7281,7786,7936,8338,8482,8538,8614,8893,9023],[3.3262343431887,0.691153161953081,4.137164559405029,5.7688031818193215,4.42484663185681,4.137164559405029,5.698620542196782,0.6792718340663283,0.691153161953081,4.42484663185681,0.6714286566053024,4.830311739964974,0.691153161953081,0.691153161953081,4.019381523748645,5.117993812416755,4.830311739964974,4.019381523748645,0.691153161953081])",0.0
R212,new report education break discussion different. source whole daughter enjoy outside money. experts discuss ongoing developments education.,"(10000,[25,585,627,668,1805,3409,3614,4506,4687,5047,5315,5530,6505,7623,7721,8568,9462],[5.117993812416755,0.6871770135734415,4.607168188650764,5.117993812416755,5.117993812416755,5.117993812416755,0.6832166123573445,0.691153161953081,0.691153161953081,2.7200985396183848,4.137164559405029,2.4789364828014966,0.6871770135734415,4.42484663185681,3.914021008090819,4.42484663185681,0.691153161953081])",1.0
F119,mind control confirmed sources score artist outside whose two pull heavy. call kid pay million authority. identify employee beat hundred. — shocking claims mind control surface internet.,"(10000,[503,1208,1411,1927,2006,2569,3184,3723,3967,4728,4897,4988,5146,5850,6548,6597,7281,7692,7936,8338,8568,8651,8931,9023,9539],[0.691153161953081,5.7688031818193215,5.523458920524919,4.019381523748645,4.42484663185681,3.8187108282864943,5.698620542196782,4.270695952029551,4.270695952029551,4.137164559405029,4.42484663185681,0.6792718340663283,4.270695952029551,0.691153161953081,4.137164559405029,4.607168188650764,0.6714286566053024,5.523458920524919,0.691153161953081,0.691153161953081,4.42484663185681,4.42484663185681,3.8187108282864943,0.691153161953081,3.7316994512968646])",0.0
F103,hoax confirmed sources tree project fall protect history manage despite indicate. open individual little wide. serious debate prevent add push likely happy. become current turn. — shocking claims hoax surface internet.,"(10000,[309,503,1117,1301,1590,2230,2956,3252,3334,3729,4321,4377,4528,4988,5783,5850,5871,5978,6543,7090,7235,7281,7883,7936,8276,8338,8614,9023,9189,9887],[3.914021008090819,0.691153161953081,4.42484663185681,4.607168188650764,4.019381523748645,3.914021008090819,4.42484663185681,3.7316994512968646,4.830311739964974,5.523458920524919,5.523458920524919,5.21137637688128,5.523458920524919,0.6792718340663283,4.270695952029551,0.691153161953081,3.8187108282864943,4.270695952029551,3.8187108282864943,4.137164559405029,4.42484663185681,0.6714286566053024,4.270695952029551,0.691153161953081,4.137164559405029,0.691153161953081,4.830311739964974,0.691153161953081,3.914021008090819,4.270695952029551])",0.0
F191,mind control confirmed sources fill benefit music. long long evidence public street fall. — shocking claims mind control surface internet.,"(10000,[503,1208,1675,1770,2054,3184,3488,3684,4988,5653,5850,7281,7936,8338,8904,9023,9727],[0.691153161953081,5.7688031818193215,5.523458920524919,2.8844015909096608,3.8187108282864943,5.698620542196782,4.830311739964974,4.019381523748645,0.6792718340663283,4.019381523748645,0.691153161953081,0.6714286566053024,0.691153161953081,0.691153161953081,9.660623479929948,0.691153161953081,3.914021008090819])",0.0
F002,mind control confirmed sources agree morning toward drive. american suffer opportunity son. else manager ball minute rate. — shocking claims mind control surface internet.,"(10000,[503,1208,1440,1637,1652,3160,3184,3194,3357,4988,5034,5850,6135,6925,6976,7281,7492,7652,7936,8338,9023,9391],[0.691153161953081,5.7688031818193215,4.270695952029551,3.6516567436233283,4.019381523748645,4.137164559405029,5.698620542196782,4.607168188650764,4.019381523748645,0.6792718340663283,4.270695952029551,0.691153161953081,4.270695952029551,4.830311739964974,4.137164559405029,0.6714286566053024,5.117993812416755,3.914021008090819,0.691153161953081,0.691153161953081,0.691153161953081,4.42484663185681])",0.0
R155,new report election recent something authority body street. serious cultural guess involve official animal parent. key ago movie mention. experts discuss ongoing developments election.,"(10000,[132,585,841,1073,1117,1176,1439,1896,3131,3556,3614,4506,4687,5591,6271,6505,7360,7958,8485,8660,9233,9372,9462,9826],[2.6330871626287546,0.6871770135734415,3.8187108282864943,3.914021008090819,4.42484663185681,4.607168188650764,4.137164559405029,4.019381523748645,4.830311739964974,2.7826188965997183,0.6832166123573445,0.691153161953081,0.691153161953081,4.137164559405029,3.914021008090819,0.6871770135734415,4.42484663185681,5.117993812416755,3.914021008090819,4.607168188650764,4.42484663185681,4.830311739964974,0.691153161953081,4.270695952029551])",1.0
R006,new report technology breakthrough opportunity pick organization use plan recent add. drop choose sometimes option miss rather responsibility rate. hope impact rock support behavior worry. experts discuss ongoing developments technology breakthrough.,"(10000,[574,585,735,1020,1071,1364,1637,1972,2227,2837,3481,3502,3614,4506,4687,5133,5591,5869,6000,6123,6505,6976,7372,8217,8344,8577,9231,9462,9613,9706],[3.6516567436233283,0.6871770135734415,4.607168188650764,5.1060889099104365,4.137164559405029,4.270695952029551,3.6516567436233283,4.019381523748645,2.7200985396183848,4.137164559405029,2.7200985396183848,4.607168188650764,0.6832166123573445,0.691153161953081,0.691153161953081,4.270695952029551,4.137164559405029,5.117993812416755,3.914021008090819,4.42484663185681,0.6871770135734415,4.137164559405029,4.137164559405029,4.42484663185681,3.5085558999826545,4.607168188650764,5.117993812416755,0.691153161953081,4.019381523748645,4.607168188650764])",1.0
F086,government cover-up confirmed sources agent section line politics among region. stock language account worker job. ever point word action yet. — shocking claims government cover-up surface internet.,"(10000,[503,613,793,1182,1716,2259,2636,2676,3519,3882,4416,4988,5016,5594,5850,5887,6633,6968,7281,7362,7936,8338,9023,9187,9813],[0.691153161953081,3.8187108282864943,4.270695952029551,4.270695952029551,4.270695952029551,5.501740396570277,5.523458920524919,4.019381523748645,4.830311739964974,4.42484663185681,4.270695952029551,0.6792718340663283,4.607168188650764,4.270695952029551,0.691153161953081,4.137164559405029,4.607168188650764,3.6516567436233283,0.6714286566053024,4.137164559405029,0.691153161953081,0.691153161953081,0.691153161953081,4.137164559405029,5.995460552433328])",0.0
R168,new report election interview owner. financial campaign ask last. history degree source grow role. experts discuss ongoing developments election.,"(10000,[132,585,2404,2634,3039,3507,3556,3614,4506,4687,6035,6505,6543,6675,7407,7721,9462,9943,9974],[2.6330871626287546,0.6871770135734415,4.270695952029551,4.137164559405029,5.523458920524919,4.137164559405029,2.7826188965997183,0.6832166123573445,0.691153161953081,0.691153161953081,3.5085558999826545,0.6871770135734415,3.8187108282864943,4.270695952029551,4.42484663185681,3.914021008090819,0.691153161953081,4.019381523748645,4.830311739964974])",1.0
R077,new report public health police minute nice former pm president. experts discuss ongoing developments public health.,"(10000,[585,1770,3357,3370,3614,3876,4160,4506,4687,5374,6219,6505,7026,8805,9462],[0.6871770135734415,5.7688031818193215,4.019381523748645,4.019381523748645,0.6832166123573445,3.6516567436233283,4.137164559405029,0.691153161953081,0.691153161953081,4.42484663185681,3.172083663361442,0.6871770135734415,4.830311739964974,3.0385522707369192,0.691153161953081])",1.0
F209,hoax confirmed sources challenge expert live future rule. policy among she. — shocking claims hoax surface internet.,"(10000,[493,503,914,1733,4142,4377,4988,5850,5935,6488,7281,7362,7711,7936,8338,9023],[4.42484663185681,0.691153161953081,4.019381523748645,5.117993812416755,2.6902455764687034,5.21137637688128,0.6792718340663283,0.691153161953081,3.6516567436233283,3.8187108282864943,0.6714286566053024,4.137164559405029,5.117993812416755,0.691153161953081,0.691153161953081,0.691153161953081])",0.0
R236,new report public health glass expect bank. argue talk get beyond rock. seat great sure sit. experts discuss ongoing developments public health.,"(10000,[47,585,750,1770,1821,2778,3614,3691,3730,4506,4687,6219,6505,6932,8805,8900,8925,9296,9426,9462,9615],[4.019381523748645,0.6871770135734415,4.830311739964974,5.7688031818193215,4.019381523748645,4.830311739964974,0.6832166123573445,3.8187108282864943,4.270695952029551,0.691153161953081,0.691153161953081,3.172083663361442,0.6871770135734415,4.830311739964974,3.0385522707369192,4.019381523748645,5.523458920524919,4.830311739964974,3.914021008090819,0.691153161953081,5.117993812416755])",1.0
F186,aliens confirmed sources skin affect stage carry beyond. third say early ever sister spring. well lay recent present road relationship travel. — shocking claims aliens surface internet.,"(10000,[30,142,157,454,503,650,2959,3521,4092,4260,4475,4988,5591,5594,5725,5833,5850,5862,6055,7281,7936,8130,8338,8771,9023,9183],[4.270695952029551,4.42484663185681,3.2721671219184243,3.3262343431887,0.691153161953081,5.917019126126766,4.830311739964974,4.42484663185681,4.137164559405029,3.7316994512968646,4.019381523748645,0.6792718340663283,4.137164559405029,4.270695952029551,3.6516567436233283,4.270695952029551,0.691153161953081,4.019381523748645,3.6516567436233283,0.6714286566053024,0.691153161953081,4.270695952029551,0.691153161953081,4.830311739964974,0.691153161953081,4.607168188650764])",0.0
R243,new report public health put southern voice happy hear. think fact smile foreign window. experts discuss ongoing developments public health.,"(10000,[286,585,619,1770,2335,2713,3530,3614,3743,4506,4687,5347,6206,6219,6505,7215,8805,8871,9462],[5.117993812416755,0.6871770135734415,4.830311739964974,5.7688031818193215,4.42484663185681,4.830311739964974,4.019381523748645,0.6832166123573445,4.42484663185681,0.691153161953081,0.691153161953081,4.019381523748645,3.8187108282864943,3.172083663361442,0.6871770135734415,4.42484663185681,3.0385522707369192,3.914021008090819,0.691153161953081])",1.0
F094,immortal jellyfish confirmed sources rock church daughter moment challenge southern need. organization take whether. threat protect scientist safe. — shocking claims immortal jellyfish surface internet.,"(10000,[503,574,855,1273,1364,2066,2091,3401,3743,4988,5850,5935,6226,6544,6547,7235,7281,7623,7936,8070,8338,9023,9876],[0.691153161953081,3.6516567436233283,4.42484663185681,3.3262343431887,4.270695952029551,5.501740396570277,5.117993812416755,4.270695952029551,4.42484663185681,0.6792718340663283,0.691153161953081,3.6516567436233283,4.42484663185681,4.830311739964974,5.117993812416755,4.42484663185681,0.6714286566053024,4.42484663185681,0.691153161953081,4.270695952029551,0.691153161953081,0.691153161953081,5.501740396570277])",0.0
R032,new report economic growth others scene avoid analysis better. language happy recent require trade within trouble. thus claim. experts discuss ongoing developments economic growth.,"(10000,[317,320,419,585,1296,1388,1716,1876,3614,4506,4687,5347,5591,5684,5844,6505,6940,7078,8449,9034,9144,9462,9817],[5.117993812416755,2.7826188965997183,4.607168188650764,0.6871770135734415,4.019381523748645,4.42484663185681,4.270695952029551,5.117993812416755,0.6832166123573445,0.691153161953081,0.691153161953081,4.019381523748645,4.137164559405029,4.607168188650764,4.019381523748645,0.6871770135734415,4.137164559405029,5.117993812416755,4.270695952029551,2.8844015909096608,5.380491152937407,0.691153161953081,3.7316994512968646])",1.0
R033,new report education stay democrat become whole. degree player morning. experts discuss ongoing developments education.,"(10000,[433,585,3073,3614,4115,4506,4687,5047,5234,5530,6505,6604,7090,9462,9943],[4.270695952029551,0.6871770135734415,5.523458920524919,0.6832166123573445,5.117993812416755,0.691153161953081,0.691153161953081,2.7200985396183848,4.270695952029551,2.4789364828014966,0.6871770135734415,4.137164559405029,4.137164559405029,0.691153161953081,4.019381523748645])",1.0
R045,new report technology breakthrough voice religious individual consider where. particularly perhaps save heavy stage two. huge best shake day. experts discuss ongoing developments technology breakthrough.,"(10000,[30,141,312,585,763,1020,1259,1842,2180,2198,2227,3481,3530,3614,4293,4506,4520,4522,4687,6443,6505,8614,8949,9462],[4.270695952029551,5.117993812416755,4.607168188650764,0.6871770135734415,3.7316994512968646,5.1060889099104365,4.137164559405029,5.117993812416755,3.914021008090819,4.607168188650764,2.7200985396183848,2.7200985396183848,4.019381523748645,0.6832166123573445,4.270695952029551,0.691153161953081,4.270695952029551,4.830311739964974,0.691153161953081,3.914021008090819,0.6871770135734415,4.830311739964974,3.5085558999826545,0.691153161953081])",1.0
R116,new report education middle defense staff walk law two. experts discuss ongoing developments education.,"(10000,[141,585,3543,3614,3979,4506,4687,5047,5530,6142,6224,6505,9462,9878],[5.117993812416755,0.6871770135734415,4.607168188650764,0.6832166123573445,4.830311739964974,0.691153161953081,0.691153161953081,2.7200985396183848,2.4789364828014966,3.914021008090819,3.8187108282864943,0.6871770135734415,0.691153161953081,3.914021008090819])",1.0
F056,celebrity scandal confirmed sources film including general according security. eye exist ability likely development least miss. — shocking claims celebrity scandal surface internet.,"(10000,[309,503,1341,1634,2871,3486,3681,4921,4988,5003,5465,5850,6602,6961,7281,7334,7564,7936,8338,8423,9023],[3.914021008090819,0.691153161953081,3.8187108282864943,4.270695952029551,4.607168188650764,5.698620542196782,4.019381523748645,5.698620542196782,0.6792718340663283,3.914021008090819,4.42484663185681,0.691153161953081,4.270695952029551,5.117993812416755,0.6714286566053024,4.019381523748645,4.42484663185681,0.691153161953081,0.691153161953081,5.117993812416755,0.691153161953081])",0.0
R043,new report policy onto peace consider see. security south ten win eye fast. expect instead although focus bit year certain. experts discuss ongoing developments policy.,"(10000,[312,585,1341,1989,2398,2634,3614,3691,3931,4142,4319,4506,4527,4687,4816,4831,5085,6505,6697,6944,6975,7779,8899,9380,9462],[4.607168188650764,0.6871770135734415,3.8187108282864943,4.137164559405029,4.137164559405029,4.137164559405029,0.6832166123573445,3.8187108282864943,3.8187108282864943,2.6902455764687034,3.7316994512968646,0.691153161953081,4.137164559405029,0.691153161953081,3.7316994512968646,5.117993812416755,3.6516567436233283,0.6871770135734415,4.607168188650764,2.849310271098391,4.830311739964974,3.8187108282864943,4.270695952029551,5.523458920524919,0.691153161953081])",1.0
R145,new report economic growth finally manage tough. low establish congress color. wind doctor establish rich republican finally. experts discuss ongoing developments economic growth.,"(10000,[320,585,777,1619,1817,2494,2558,2923,3614,4506,4616,4687,6212,6505,7036,7883,8411,8728,9034,9144,9462],[2.7826188965997183,0.6871770135734415,4.42484663185681,5.523458920524919,4.019381523748645,5.117993812416755,4.137164559405029,7.463398902593729,0.6832166123573445,0.691153161953081,4.270695952029551,0.691153161953081,4.019381523748645,0.6871770135734415,5.117993812416755,4.270695952029551,3.577548771469606,3.383392757028649,2.8844015909096608,5.380491152937407,0.691153161953081])",1.0
F200,secret cure confirmed sources account else hear career produce write. serve central company seem. — shocking claims secret cure surface internet.,"(10000,[503,942,1648,1725,3892,4502,4842,4930,4988,5034,5850,6747,7281,7936,8338,8928,9023,9187,9593],[0.691153161953081,5.117993812416755,5.117993812416755,4.42484663185681,5.1060889099104365,4.830311739964974,3.914021008090819,3.6516567436233283,0.6792718340663283,4.270695952029551,0.691153161953081,5.1060889099104365,0.6714286566053024,0.691153161953081,0.691153161953081,4.270695952029551,0.691153161953081,4.137164559405029,4.830311739964974])",0.0
F034,celebrity scandal confirmed sources discover class beat use. — shocking claims celebrity scandal surface internet.,"(10000,[503,2569,3486,4007,4170,4921,4988,5850,7281,7936,8338,9021,9023],[0.691153161953081,3.8187108282864943,5.698620542196782,4.607168188650764,4.607168188650764,5.698620542196782,0.6792718340663283,0.691153161953081,0.6714286566053024,0.691153161953081,0.691153161953081,4.019381523748645,0.691153161953081])",0.0
